algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100000,1000000,True,1.00,71,416.26,2274861.00,0.00
Greedy Search,100000,500000,True,1.00,71,195.53,1137430.50,0.00
Greedy Search,100000,250000,True,1.00,71,96.01,568715.25,0.00
Greedy Search,100000,125000,True,1.00,20,16.67,284357.62,0.00
Greedy Search,100000,62500,True,1.00,50,17.50,142178.81,0.00
Greedy Search,100000,31250,True,1.00,60,10.19,71089.41,0.00
Greedy Search,100000,15625,False,0.69,200,15.58,35544.70,0.00
Greedy Search,100000,23438,False,0.84,200,23.87,53318.19,0.00
Greedy Search,100000,27344,True,1.00,70,10.22,62203.80,0.00
Greedy Search,100000,25391,False,0.92,200,25.54,57761.00,0.00
Greedy Search,100000,26368,False,0.91,200,26.74,59983.53,0.00
Greedy Search,100000,26856,False,0.95,200,27.07,61093.67,0.00
Greedy Search,100000,27100,False,0.93,200,27.57,61648.73,0.00
Greedy Search,100000,27222,True,1.00,40,6.41,61926.27,0.00
Greedy Search,100000,27161,False,0.93,200,27.80,61787.50,0.00
Greedy Search,100000,27192,True,1.00,50,7.70,61858.02,0.00
Greedy Search,100000,27177,True,1.00,50,7.73,61823.90,0.00
Greedy Search,100000,27169,True,1.00,60,9.00,61805.70,0.00
Greedy Search,100000,27165,False,0.92,200,27.59,61796.60,0.00
Greedy Search,100000,27167,True,1.00,60,8.93,61801.15,0.00
Greedy Search,100000,27166,False,0.92,200,27.25,61798.87,0.00
Greedy Search,100001,1000000,True,1.00,60,355.32,2273806.00,0.00
Greedy Search,100001,500000,True,1.00,60,168.60,1136903.00,0.00
Greedy Search,100001,250000,True,1.00,71,95.94,568451.50,0.00
Greedy Search,100001,125000,True,1.00,70,46.59,284225.75,0.00
Greedy Search,100001,62500,True,1.00,60,20.31,142112.88,0.00
Greedy Search,100001,31250,True,1.00,70,11.63,71056.44,0.00
Greedy Search,100001,15625,False,0.68,200,15.51,35528.22,0.00
Greedy Search,100001,23438,False,0.86,200,23.71,53293.47,0.00
Greedy Search,100001,27344,True,1.00,71,10.28,62174.95,0.00
Greedy Search,100001,25391,False,0.89,200,25.42,57734.21,0.00
Greedy Search,100001,26368,False,0.93,200,26.43,59955.72,0.00
Greedy Search,100001,26856,False,0.90,200,26.99,61065.33,0.00
Greedy Search,100001,27100,False,0.96,200,26.91,61620.14,0.00
Greedy Search,100001,27222,True,1.00,71,10.24,61897.55,0.00
Greedy Search,100001,27161,False,0.94,200,27.17,61758.84,0.00
Greedy Search,100001,27192,True,1.00,60,8.89,61829.33,0.00
Greedy Search,100001,27177,True,1.00,50,7.67,61795.23,0.00
Greedy Search,100001,27169,True,1.00,88,12.53,61777.04,0.00
Greedy Search,100001,27165,True,1.00,88,12.52,61767.94,0.00
Greedy Search,100001,27163,True,1.00,88,12.52,61763.39,0.00
Greedy Search,100001,27162,False,0.94,200,27.22,61761.12,0.00
Greedy Search,100002,1000000,True,1.00,71,401.93,2271223.00,0.00
Greedy Search,100002,500000,True,1.00,71,191.81,1135611.50,0.00
Greedy Search,100002,250000,True,1.00,71,94.64,567805.75,0.00
Greedy Search,100002,125000,True,1.00,60,40.44,283902.88,0.00
Greedy Search,100002,62500,True,1.00,70,22.74,141951.44,0.00
Greedy Search,100002,31250,True,1.00,71,11.59,70975.72,0.00
Greedy Search,100002,15625,False,0.67,200,15.34,35487.86,0.00
Greedy Search,100002,23438,False,0.89,200,23.29,53232.92,0.00
Greedy Search,100002,27344,True,1.00,70,10.03,62104.32,0.00
Greedy Search,100002,25391,True,1.00,71,9.47,57668.62,0.00
Greedy Search,100002,24415,False,0.90,200,24.21,55451.91,0.00
Greedy Search,100002,24903,False,0.93,200,24.46,56560.27,0.00
Greedy Search,100002,25147,False,0.91,200,24.89,57114.44,0.00
Greedy Search,100002,25269,True,1.00,71,9.39,57391.53,0.00
Greedy Search,100002,25208,False,0.95,200,24.73,57252.99,0.00
Greedy Search,100002,25239,False,0.92,200,24.98,57323.40,0.00
Greedy Search,100002,25254,False,0.92,200,24.97,57357.47,0.00
Greedy Search,100002,25262,False,0.92,200,25.00,57375.64,0.00
Greedy Search,100002,25266,True,1.00,71,9.41,57384.72,0.00
Greedy Search,100002,25264,False,0.92,200,24.96,57380.18,0.00
Greedy Search,100002,25265,True,1.00,71,9.41,57382.45,0.00
Greedy Search,100003,1000000,True,1.00,60,347.83,2269645.00,0.00
Greedy Search,100003,500000,True,1.00,60,166.02,1134822.50,0.00
Greedy Search,100003,250000,True,1.00,50,70.32,567411.25,0.00
Greedy Search,100003,125000,True,1.00,70,46.81,283705.62,0.00
Greedy Search,100003,62500,True,1.00,71,23.68,141852.81,0.00
Greedy Search,100003,31250,True,1.00,71,11.96,70926.41,0.00
Greedy Search,100003,15625,False,0.65,200,15.90,35463.20,0.00
Greedy Search,100003,23438,False,0.84,200,24.28,53195.94,0.00
Greedy Search,100003,27344,True,1.00,50,7.79,62061.17,0.00
Greedy Search,100003,25391,False,0.91,200,25.85,57628.56,0.00
Greedy Search,100003,26368,False,0.94,200,26.89,59846.00,0.00
Greedy Search,100003,26856,False,0.90,200,27.54,60953.59,0.00
Greedy Search,100003,27100,True,1.00,71,10.41,61507.38,0.00
Greedy Search,100003,26978,False,0.95,200,27.37,61230.48,0.00
Greedy Search,100003,27039,True,1.00,50,7.68,61368.93,0.00
Greedy Search,100003,27009,False,0.91,200,27.63,61300.84,0.00
Greedy Search,100003,27024,True,1.00,70,10.26,61334.89,0.00
Greedy Search,100003,27017,True,1.00,70,10.25,61319.00,0.00
Greedy Search,100003,27013,True,1.00,70,10.25,61309.92,0.00
Greedy Search,100003,27011,True,1.00,70,10.24,61305.38,0.00
Greedy Search,100003,27010,False,0.91,200,27.63,61303.11,0.00
Greedy Search,100004,1000000,True,1.00,71,384.54,2274064.00,0.00
Greedy Search,100004,500000,True,1.00,71,183.50,1137032.00,0.00
Greedy Search,100004,250000,True,1.00,70,90.00,568516.00,0.00
Greedy Search,100004,125000,True,1.00,50,33.82,284258.00,0.00
Greedy Search,100004,62500,True,1.00,71,22.84,142129.00,0.00
Greedy Search,100004,31250,True,1.00,60,9.92,71064.50,0.00
Greedy Search,100004,15625,False,0.68,200,15.09,35532.25,0.00
Greedy Search,100004,23438,False,0.87,200,22.99,53299.51,0.00
Greedy Search,100004,27344,True,1.00,71,10.07,62182.01,0.00
Greedy Search,100004,25391,False,0.88,200,24.93,57740.76,0.00
Greedy Search,100004,26368,False,0.91,200,25.82,59962.52,0.00
Greedy Search,100004,26856,True,1.00,50,7.33,61072.26,0.00
Greedy Search,100004,26612,True,1.00,71,9.82,60517.39,0.00
Greedy Search,100004,26490,False,0.95,200,25.87,60239.96,0.00
Greedy Search,100004,26551,False,0.91,200,25.94,60378.67,0.00
Greedy Search,100004,26582,True,1.00,71,9.83,60449.17,0.00
Greedy Search,100004,26567,False,0.95,200,25.86,60415.06,0.00
Greedy Search,100004,26575,False,0.94,200,25.87,60433.25,0.00
Greedy Search,100004,26579,True,1.00,67,9.36,60442.35,0.00
Greedy Search,100004,26577,True,1.00,67,9.37,60437.80,0.00
Greedy Search,100004,26576,True,1.00,67,9.37,60435.52,0.00
Greedy Search,100100,1000000,True,1.00,71,392.53,2271687.00,0.10
Greedy Search,100100,500000,True,1.00,71,186.84,1135843.50,0.10
Greedy Search,100100,250000,True,1.00,70,91.05,567921.75,0.10
Greedy Search,100100,125000,True,1.00,60,39.54,283960.88,0.10
Greedy Search,100100,62500,True,1.00,60,19.77,141980.44,0.10
Greedy Search,100100,31250,True,1.00,60,9.89,70990.22,0.10
Greedy Search,100100,15625,False,0.67,200,15.21,35495.11,0.10
Greedy Search,100100,23438,False,0.85,200,23.16,53243.80,0.10
Greedy Search,100100,27344,False,0.91,200,26.75,62117.01,0.10
Greedy Search,100100,29297,True,1.00,71,10.79,66553.61,0.10
Greedy Search,100100,28321,True,1.00,50,7.70,64336.45,0.10
Greedy Search,100100,27833,True,1.00,70,10.10,63227.86,0.10
Greedy Search,100100,27589,False,0.93,200,27.05,62673.57,0.10
Greedy Search,100100,27711,False,0.97,200,26.78,62950.72,0.10
Greedy Search,100100,27772,False,0.94,200,27.04,63089.29,0.10
Greedy Search,100100,27803,False,0.93,200,27.18,63159.71,0.10
Greedy Search,100100,27818,True,1.00,70,10.12,63193.79,0.10
Greedy Search,100100,27811,True,1.00,50,7.63,63177.89,0.10
Greedy Search,100100,27807,False,0.93,200,27.17,63168.80,0.10
Greedy Search,100100,27809,True,1.00,50,7.62,63173.34,0.10
Greedy Search,100100,27808,False,0.92,200,27.29,63171.07,0.10
Greedy Search,100101,1000000,True,1.00,70,384.84,2274454.00,0.10
Greedy Search,100101,500000,True,1.00,70,184.44,1137227.00,0.10
Greedy Search,100101,250000,True,1.00,50,68.29,568613.50,0.10
Greedy Search,100101,125000,True,1.00,60,39.78,284306.75,0.10
Greedy Search,100101,62500,True,1.00,71,22.86,142153.38,0.10
Greedy Search,100101,31250,True,1.00,71,11.47,71076.69,0.10
Greedy Search,100101,15625,False,0.66,200,15.23,35538.34,0.10
Greedy Search,100101,23438,False,0.88,200,22.95,53308.65,0.10
Greedy Search,100101,27344,True,1.00,70,9.88,62192.67,0.10
Greedy Search,100101,25391,True,1.00,71,9.31,57750.66,0.10
Greedy Search,100101,24415,False,0.93,200,23.87,55530.79,0.10
Greedy Search,100101,24903,True,1.00,71,9.18,56640.73,0.10
Greedy Search,100101,24659,True,1.00,70,8.96,56085.76,0.10
Greedy Search,100101,24537,True,1.00,70,8.94,55808.28,0.10
Greedy Search,100101,24476,True,1.00,50,6.67,55669.54,0.10
Greedy Search,100101,24446,False,0.95,200,23.73,55601.30,0.10
Greedy Search,100101,24461,True,1.00,70,8.92,55635.42,0.10
Greedy Search,100101,24454,False,0.95,200,23.75,55619.50,0.10
Greedy Search,100101,24458,True,1.00,70,8.93,55628.60,0.10
Greedy Search,100101,24456,True,1.00,70,8.92,55624.05,0.10
Greedy Search,100101,24455,True,1.00,70,8.91,55621.77,0.10
Greedy Search,100102,1000000,True,1.00,71,395.98,2275201.00,0.10
Greedy Search,100102,500000,True,1.00,71,190.50,1137600.50,0.10
Greedy Search,100102,250000,True,1.00,60,81.68,568800.25,0.10
Greedy Search,100102,125000,True,1.00,41,29.33,284400.12,0.10
Greedy Search,100102,62500,True,1.00,71,23.14,142200.06,0.10
Greedy Search,100102,31250,True,1.00,70,11.41,71100.03,0.10
Greedy Search,100102,15625,False,0.65,200,15.19,35550.02,0.10
Greedy Search,100102,23438,False,0.88,200,23.34,53326.16,0.10
Greedy Search,100102,27344,True,1.00,71,10.16,62213.10,0.10
Greedy Search,100102,25391,False,0.93,200,24.99,57769.63,0.10
Greedy Search,100102,26368,True,1.00,50,7.25,59992.50,0.10
Greedy Search,100102,25880,False,0.94,200,25.54,58882.20,0.10
Greedy Search,100102,26124,True,1.00,50,7.18,59437.35,0.10
Greedy Search,100102,26002,True,1.00,70,9.49,59159.78,0.10
Greedy Search,100102,25941,True,1.00,71,9.64,59020.99,0.10
Greedy Search,100102,25911,True,1.00,71,9.68,58952.73,0.10
Greedy Search,100102,25896,True,1.00,71,9.67,58918.61,0.10
Greedy Search,100102,25888,True,1.00,71,9.68,58900.40,0.10
Greedy Search,100102,25884,True,1.00,70,9.52,58891.30,0.10
Greedy Search,100102,25882,False,0.94,200,25.59,58886.75,0.10
Greedy Search,100102,25883,True,1.00,70,9.51,58889.03,0.10
Greedy Search,100103,1000000,True,1.00,50,288.13,2277116.00,0.10
Greedy Search,100103,500000,True,1.00,50,140.50,1138558.00,0.10
Greedy Search,100103,250000,True,1.00,71,93.45,569279.00,0.10
