algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Belief Propagation,100000,20000,False,0.74,10,301.44,330.00,0.00
Belief Propagation,100000,30000,False,0.88,9,408.21,495.00,0.00
Belief Propagation,100000,35000,False,0.94,7,370.67,577.50,0.00
Belief Propagation,100000,37500,False,0.96,12,672.30,618.75,0.00
Belief Propagation,100000,38750,False,0.98,13,757.79,639.38,0.00
Belief Propagation,100000,39375,False,0.97,6,358.90,649.69,0.00
Belief Propagation,100000,39688,False,0.96,6,362.52,654.85,0.00
Belief Propagation,100000,39844,True,1.00,14,830.63,657.43,0.00
Belief Propagation,100000,39766,False,0.97,6,360.96,656.14,0.00
Belief Propagation,100001,20000,False,0.74,11,333.46,329.50,0.00
Belief Propagation,100001,30000,False,0.87,13,574.82,494.25,0.00
Belief Propagation,100001,35000,False,0.91,7,365.57,576.62,0.00
Belief Propagation,100001,37500,False,0.96,7,398.30,617.81,0.00
Belief Propagation,100001,38750,False,0.97,8,459.12,638.41,0.00
Belief Propagation,100001,39375,False,0.96,10,581.21,648.70,0.00
Belief Propagation,100001,39688,False,0.97,11,644.54,653.86,0.00
Belief Propagation,100001,39844,False,0.97,11,646.12,656.43,0.00
Belief Propagation,100001,39922,False,0.94,5,300.05,657.71,0.00
Belief Propagation,100001,39961,False,0.94,5,300.26,658.36,0.00
Belief Propagation,100001,39981,False,0.96,6,362.49,658.69,0.00
Belief Propagation,100001,39991,False,0.95,5,306.65,658.85,0.00
Belief Propagation,100001,39996,False,0.96,12,706.72,658.93,0.00
Belief Propagation,100001,39998,False,0.95,5,302.23,658.97,0.00
Belief Propagation,100001,39999,False,0.96,8,475.25,658.98,0.00
Belief Propagation,100002,20000,False,0.75,10,304.83,336.00,0.00
Belief Propagation,100002,30000,False,0.89,6,278.62,504.00,0.00
Belief Propagation,100002,35000,False,0.96,8,419.07,588.00,0.00
Belief Propagation,100002,37500,False,0.95,7,402.41,630.00,0.00
Belief Propagation,100002,38750,False,0.98,10,575.23,651.00,0.00
Belief Propagation,100002,39375,False,0.98,8,473.65,661.50,0.00
Belief Propagation,100002,39688,False,0.98,7,428.44,666.76,0.00
Belief Propagation,100002,39844,False,0.99,10,595.80,669.38,0.00
Belief Propagation,100002,39922,True,1.00,11,659.52,670.69,0.00
Belief Propagation,100002,39883,False,0.98,8,480.49,670.03,0.00
Belief Propagation,100003,20000,False,0.75,5,154.21,333.00,0.00
Belief Propagation,100003,30000,False,0.89,6,275.44,499.50,0.00
Belief Propagation,100003,35000,False,0.96,8,421.84,582.75,0.00
Belief Propagation,100003,37500,False,0.97,11,615.07,624.38,0.00
Belief Propagation,100003,38750,True,1.00,12,688.33,645.19,0.00
