algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100000,1000000,True,1.00,71,416.26,2274861.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,500000,True,1.00,71,195.53,1137430.50,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,250000,True,1.00,71,96.01,568715.25,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,125000,True,1.00,20,16.67,284357.62,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,62500,True,1.00,50,17.50,142178.81,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,31250,True,1.00,60,10.19,71089.41,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,15625,False,0.69,200,15.58,35544.70,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,23438,False,0.84,200,23.87,53318.19,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27344,True,1.00,70,10.22,62203.80,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,25391,False,0.92,200,25.54,57761.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,26368,False,0.91,200,26.74,59983.53,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,26856,False,0.95,200,27.07,61093.67,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27100,False,0.93,200,27.57,61648.73,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27222,True,1.00,40,6.41,61926.27,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27161,False,0.93,200,27.80,61787.50,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27192,True,1.00,50,7.70,61858.02,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27177,True,1.00,50,7.73,61823.90,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27169,True,1.00,60,9.00,61805.70,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27165,False,0.92,200,27.59,61796.60,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27167,True,1.00,60,8.93,61801.15,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100000,27166,False,0.92,200,27.25,61798.87,../../data/gaussian_confusion_matrices/scale_0.00.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100001,1000000,True,1.00,60,355.32,2273806.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,500000,True,1.00,60,168.60,1136903.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,250000,True,1.00,71,95.94,568451.50,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,125000,True,1.00,70,46.59,284225.75,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,62500,True,1.00,60,20.31,142112.88,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,31250,True,1.00,70,11.63,71056.44,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,15625,False,0.68,200,15.51,35528.22,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,23438,False,0.86,200,23.71,53293.47,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,27344,True,1.00,71,10.28,62174.95,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,25391,False,0.89,200,25.42,57734.21,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,26368,False,0.93,200,26.43,59955.72,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,26856,False,0.90,200,26.99,61065.33,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,27100,False,0.96,200,26.91,61620.14,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,27222,True,1.00,71,10.24,61897.55,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,27161,False,0.94,200,27.17,61758.84,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100001,27192,True,1.00,60,8.89,61829.33,../../data/gaussian_confusion_matrices/scale_0.00.csv
